<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MTSS,D,20100111,000000,224.5000000,232.8900000,223.2600000,228.9000000,1681790
MTSS,D,20100112,000000,228.0100000,231.3700000,226.3200000,226.7000000,1551544
MTSS,D,20100113,000000,226.5000000,228.4900000,225.0400000,225.6000000,1147381
MTSS,D,20100114,000000,227.2000000,227.9500000,225.5000000,226.7900000,1278679
MTSS,D,20100115,000000,227.5000000,228.9700000,226.6000000,228.0000000,1478910
MTSS,D,20100118,000000,226.7100000,241.2000000,226.0600000,240.0000000,3899806
MTSS,D,20100119,000000,240.3000000,242.9800000,235.1000000,237.9500000,3699287
MTSS,D,20100120,000000,238.0000000,239.6500000,233.5200000,235.5000000,1573847
MTSS,D,20100121,000000,236.0200000,237.4000000,230.0000000,231.4000000,955344
MTSS,D,20100122,000000,229.5100000,231.6800000,227.5000000,229.5700000,1625243
MTSS,D,20100125,000000,227.5600000,233.9500000,227.5600000,231.8800000,914029
MTSS,D,20100126,000000,230.5000000,231.5000000,228.0000000,229.4600000,809825
MTSS,D,20100127,000000,229.4600000,232.9500000,227.5400000,230.5000000,722563
MTSS,D,20100128,000000,233.1100000,234.6800000,230.1200000,232.4300000,1046640
MTSS,D,20100129,000000,229.9800000,234.2500000,229.2500000,233.1000000,838011
MTSS,D,20100201,000000,231.5500000,238.3000000,230.8200000,237.6700000,1575437
MTSS,D,20100202,000000,238.8800000,240.1200000,237.0000000,239.0000000,987837
MTSS,D,20100203,000000,240.8600000,241.3000000,237.0000000,237.6000000,1260341
MTSS,D,20100204,000000,237.0000000,238.5000000,233.0000000,234.2000000,1131532
MTSS,D,20100205,000000,229.6000000,231.3000000,225.0100000,227.3900000,2201621
MTSS,D,20100208,000000,227.3800000,231.0000000,226.0200000,226.0200000,2025538
MTSS,D,20100209,000000,227.9700000,228.9400000,226.0200000,228.3200000,850208
MTSS,D,20100210,000000,229.7300000,229.7300000,226.5100000,227.0000000,999800
