<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<CLAVRG>,,,,,,,
SBERP,D,20100215,0,64,64.6,62.87,64.4,21962871,0.58448693,,,,,,,
SBERP,D,20100216,0,64.91,66.7,64.4,66.7,29165294,0.605361463,,,,,,,
SBERP,D,20100217,0,67.25,67.73,66.02,66.6,37544999,0.604453875,,,,,,,
SBERP,D,20100218,0,66.17,66.35,64,64.85,22843808,0.588571078,,,,,,,
SBERP,D,20100219,0,63.77,65.85,62.35,64.95,28685042,0.589478666,,,,,,,
SBERP,D,20100224,0,64.9,65.49,62.89,63.57,24739922,0.576953946,,,,,,,
SBERP,D,20100225,0,63.57,63.6,60.85,61.8,24284536,0.560889632,,,,,,,
SBERP,D,20100226,0,62.25,63.79,61.71,63.71,25978967,0.57822457,,,,,,,
SBERP,D,20100227,0,63.66,64.77,63.15,64.58,9984674,0.586120589,,,,,,,
SBERP,D,20100301,0,65,66.85,64.6,66.38,34115104,0.60245718,,,,,,,
SBERP,D,20100302,0,66.43,68.04,65.95,67.4,33974268,0.611714582,,,,,,,
SBERP,D,20100303,0,67.41,67.95,66.06,67.64,25586207,0.613892794,,,,,,,
SBERP,D,20100304,0,67.02,68.44,66.64,67.51,24477106,0.612712929,,,,,,,
SBERP,D,20100305,0,68.17,69.98,68.01,69.2,35784012,0.628051173,,,,,,,
SBERP,D,20100309,0,69.2,71.12,68.83,70.7,38854886,0.641664999,,,,,,,
SBERP,D,20100310,0,70.51,71.93,69.4,70.15,33284363,0.636673263,,,,,,,
SBERP,D,20100311,0,70.15,70.92,69,69.63,20486437,0.631953803,,,,,,,
SBERP,D,20100312,0,70.1,71.5,69.82,71.16,21919578,0.645839906,,,,,,,
SBERP,D,20100315,0,70.76,71.3,70.06,70.25,18043170,0.637580851,,,,,,,
SBERP,D,20100316,0,70.9,71.25,70.32,71.12,14882016,0.645476871,,,,,,,
SBERP,D,20100317,0,71.9,72.25,70.89,71.4,16952034,0.648018118,,,,,,,
SBERP,D,20100318,0,71.35,71.8,70.11,70.15,23867939,0.636673263,,,,,,,
SBERP,D,20100319,0,70.27,70.84,68.65,69,23697730,0.626235996,,,,,,,
SBERP,D,20100322,0,68.46,69.4,67.6,69.05,18914220,0.626689791,,,,,,,
SBERP,D,20100323,0,69.36,69.9,68.48,69.22,13347809,0.628232691,,,,,,,
SBERP,D,20100324,0,69.55,69.79,68.5,69.5,13450525,0.630773938,,,,,,,
SBERP,D,20100325,0,69.27,69.5,67.83,68.17,15418421,0.618703013,,,,,,,
SBERP,D,20100326,0,68.06,68.27,66.83,67.24,19014403,0.610262441,,,,,,,
SBERP,D,20100329,0,67.13,68.5,66.65,67.88,16496819,0.616071006,,,,,,,
SBERP,D,20100330,0,67.86,68.45,66.87,67.1,18867826,0.608991817,,,,,,,
SBERP,D,20100331,0,66.9,67.75,66.16,66.52,33335485,0.603727804,,,,,,,
SBERP,D,20100401,0,66.91,67.86,66.7,67.49,23214633,0.612531412,,,,,,,
SBERP,D,20100402,0,67.81,68.35,67.5,67.75,14808544,0.614891141,,,,,,,
SBERP,D,20100405,0,68,68.14,66.75,67.42,16896770,0.6118961,,,,,,,
SBERP,D,20100406,0,67.03,68,66.75,67.4,14793262,0.611714582,,,,,,,
SBERP,D,20100407,0,67.31,67.92,65.75,65.8,19235118,0.597193168,,,,,,,
SBERP,D,20100408,0,65.56,65.67,64.1,64.52,23712212,0.585576036,,,,,,,
SBERP,D,20100409,0,65.09,67.3,65,67.05,24640111,0.608538023,,,,,,,
SBERP,D,20100412,0,67.7,67.98,66.58,66.91,18072405,0.607267399,,,,,,,
SBERP,D,20100413,0,66.66,70.08,66.37,70.03,69142281,0.635584157,,,,,,,
SBERP,D,20100414,0,70.89,71.39,68.92,69.75,61774896,0.633042909,,,,,,,
SBERP,D,20100415,0,70.25,70.44,67.75,68.45,46159694,0.62124426,,,,,,,
SBERP,D,20100416,0,67.7,68.53,66.09,66.28,39577042,0.601549592,,,,,,,
SBERP,D,20100419,0,64.48,64.5,62.13,63.94,46617186,0.580312023,,,,,,,
SBERP,D,20100420,0,64.62,65.38,64.1,64.49,32105276,0.58530376,,,,,,,
SBERP,D,20100421,0,65.1,65.1,63.02,63.27,32547081,0.574231181,,,,,,,
SBERP,D,20100422,0,63.25,63.45,59.85,60.47,58452512,0.548818706,,,,,,,
SBERP,D,20100423,0,60.85,61.48,59.89,60.96,44984305,0.553265889,,,,,,,
SBERP,D,20100426,0,61.64,62.25,60.9,61.08,28272830,0.554354995,,,,,,,
SBERP,D,20100427,0,60.59,60.68,58.51,58.85,38029142,0.534115774,,,,,,,
SBERP,D,20100428,0,57.2,58.43,55.56,57.49,61278710,0.521772572,,,,,,,
SBERP,D,20100429,0,57.85,59.68,57.23,59.65,46901235,0.541376481,,,,,,,
SBERP,D,20100430,0,59.74,59.78,57.77,58.75,32878192,0.533208185,,,,,,,
SBERP,D,20100504,0,58.75,59.6,56.03,56.1,34416492,0.509157093,,,,,,,
SBERP,D,20100505,0,55.65,57.54,54.25,55.81,54623903,0.506525086,,,,,,,
SBERP,D,20100506,0,55.53,58.17,54.85,56.91,72888085,0.516508559,,,,,,,
SBERP,D,20100507,0,54.91,56.89,53.63,54.4,64274760,0.49372809,,,,,,,
SBERP,D,20100511,0,56.7,57.39,55.45,56.85,38571363,0.515964006,,,,,,,
SBERP,D,20100512,0,56.2,60.73,55.85,60.39,57153859,0.548092635,,,,,,,
SBERP,D,20100513,0,60.8,63.5,59.12,59.81,88462228,0.542828622,,,,,,,
SBERP,D,20100514,0,59.1,59.57,57.38,57.9,37047869,0.525493684,,,,,,,
SBERP,D,20100517,0,56.11,58.8,56,57.63,45244228,0.523043195,,,,,,,
SBERP,D,20100518,0,58.01,58.94,57.51,58.65,32874335,0.532300597,,,,,,,
SBERP,D,20100519,0,57.3,57.64,56.01,56.35,28708483,0.511426064,,,,,,,
SBERP,D,20100520,0,56.43,57.59,53,53.5,51893530,0.485559794,,,,,,,
SBERP,D,20100521,0,54.04,54.85,51.05,53,55225334,0.481021852,,,,,,,
SBERP,D,20100524,0,54.01,54.51,52.03,53.59,38227476,0.486376624,,,,,,,
SBERP,D,20100525,0,50.9,52.17,50.34,50.7,38886947,0.460147319,,,,,,,
SBERP,D,20100526,0,51.95,53.91,51.51,53.65,40591716,0.486921177,,,,,,,
SBERP,D,20100527,0,53.94,55.49,52.9,55.23,52581433,0.501261074,,,,,,,
SBERP,D,20100528,0,55.41,56.01,54.04,54.57,28478087,0.49527099,,,,,,,
SBERP,D,20100531,0,54.6,55.8,54.3,55.75,18014597,0.505980533,,,,,,,
SBERP,D,20100601,0,55.1,56.75,53.3,56.2,30144267,0.510064681,,,,,,,
SBERP,D,20100602,0,55.01,56.4,54.8,56.15,32650434,0.509610887,,,,,,,
