<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<CLAVRG>,,,,,,,
SBERP,D,20171017,0,164.05,164.22,160.9,162.32,3685800,1.473197492,,,,,,,
SBERP,D,20171018,0,162.62,163.15,160.98,162,2618400,1.470293209,,,,,,,
SBERP,D,20171019,0,162.1,162.38,158.69,159.01,2925500,1.443156316,,,,,,,
SBERP,D,20171020,0,159.32,161.27,159.21,160.87,2301800,1.46003746,,,,,,,
SBERP,D,20171023,0,161,161.95,159.2,159.89,2089900,1.451143094,,,,,,,
SBERP,D,20171024,0,160.09,161,158.89,160,1927500,1.452141441,,,,,,,
SBERP,D,20171025,0,160.5,162.1,158.79,158.79,2205200,1.441159621,,,,,,,
SBERP,D,20171026,0,159.3,160.42,158.07,159.21,2315500,1.444971493,,,,,,,
SBERP,D,20171027,0,160.44,160.79,159.08,160,4506600,1.452141441,,,,,,,
SBERP,D,20171030,0,160.23,161.95,159.81,160.41,4213900,1.455862554,,,,,,,
SBERP,D,20171031,0,160.41,160.68,157.92,158.52,3171300,1.438709133,,,,,,,
SBERP,D,20171101,0,158.4,160.42,158,159.7,3504900,1.449418676,,,,,,,
SBERP,D,20171102,0,159.3,160.77,158.06,159.7,3702100,1.449418676,,,,,,,
SBERP,D,20171103,0,160.4,161.4,159.58,160.5,1943600,1.456679383,,,,,,,
SBERP,D,20171107,0,161.43,171.88,161.43,171.4,9883900,1.555606519,,,,,,,
SBERP,D,20171108,0,171.98,178.84,170.52,178.45,8051100,1.619591501,,,,,,,
SBERP,D,20171109,0,178.43,191.06,176.94,191.06,12079200,1.734038398,,,,,,,
SBERP,D,20171110,0,190.92,203,188.51,190.1,18700800,1.72532555,,,,,,,
SBERP,D,20171113,0,190.1,194.35,186.06,188.19,5713600,1.707990611,,,,,,,
SBERP,D,20171114,0,188.56,191.4,187.31,189.65,4298000,1.721241402,,,,,,,
SBERP,D,20171115,0,190.2,194.49,188.27,190,6567400,1.724417961,,,,,,,
SBERP,D,20171116,0,191.3,192.4,182.84,185.6,11106100,1.684484072,,,,,,,
SBERP,D,20171117,0,186.12,187.65,185,186.04,3006600,1.688477461,,,,,,,
SBERP,D,20171120,0,186.04,186.55,184.02,185.6,2118600,1.684484072,,,,,,,
SBERP,D,20171121,0,186.29,192.5,185.75,192.1,6871200,1.743477318,,,,,,,
SBERP,D,20171122,0,192.63,195.56,192,192.3,6421600,1.745292494,,,,,,,
SBERP,D,20171123,0,192.31,193.23,188.52,188.7,3818000,1.712619312,,,,,,,
SBERP,D,20171124,0,188.51,193,186.37,192.3,3653500,1.745292494,,,,,,,
SBERP,D,20171127,0,192.59,193,189.71,190.86,1872900,1.732223222,,,,,,,
SBERP,D,20171128,0,190.25,193.28,189.34,192.5,3567500,1.747107671,,,,,,,
SBERP,D,20171129,0,193,194.4,188.24,189.63,3882400,1.721059884,,,,,,,
SBERP,D,20171130,0,188.99,190.99,184.53,184.53,3138300,1.674772876,,,,,,,
SBERP,D,20171201,0,185.96,187,183.09,184.55,3044000,1.674954393,,,,,,,
SBERP,D,20171204,0,184.11,186.89,183.3,184.2,2485600,1.671777834,,,,,,,
SBERP,D,20171205,0,184.19,185.69,182.5,185.2,2657800,1.680853718,,,,,,,
SBERP,D,20171206,0,184.9,186.84,183.1,185.4,1290400,1.682668895,,,,,,,
SBERP,D,20171207,0,185.4,186.47,181.51,181.91,3076600,1.65099406,,,,,,,
SBERP,D,20171208,0,183.19,185.86,182.33,185,3031500,1.679038541,,,,,,,
SBERP,D,20171211,0,185.3,192.16,185.3,192.05,3411300,1.743023523,,,,,,,
SBERP,D,20171212,0,193.5,196,192.03,195.96,4284700,1.77851023,,,,,,,
SBERP,D,20171213,0,195.5,199.49,188.6,188.84,9602200,1.713889936,,,,,,,
SBERP,D,20171214,0,189.97,193.93,188,193.23,5305400,1.753733067,,,,,,,
SBERP,D,20171215,0,193.41,194.03,190,190,2919300,1.724417961,,,,,,,
SBERP,D,20171218,0,190.19,193.48,189.75,191.29,2549800,1.736125852,,,,,,,
SBERP,D,20171219,0,191.3,192.9,189.7,190.67,2706400,1.730498804,,,,,,,
SBERP,D,20171220,0,191,191.96,189.09,191.25,2896900,1.735762816,,,,,,,
SBERP,D,20171221,0,191.43,192.89,189.22,189.5,3255600,1.719880019,,,,,,,
SBERP,D,20171222,0,189.68,191.18,188.86,189.2,1275700,1.717157254,,,,,,,
SBERP,D,20171225,0,189.98,190.4,189,189.82,371400,1.722784302,,,,,,,
SBERP,D,20171226,0,189.97,190.5,187.2,190,1414200,1.724417961,,,,,,,
SBERP,D,20171227,0,190.4,191.83,189.51,190.73,1785900,1.731043357,,,,,,,
SBERP,D,20171228,0,190.65,191.59,189.5,190.3,1194300,1.727140726,,,,,,,
SBERP,D,20171229,0,190,191.17,189,189,1571800,1.715342077,,,,,,,
SBERP,D,20180103,0,190.66,197.4,190.47,197.3,3231300,1.790671915,,,,,,,
SBERP,D,20180104,0,197.99,204.4,197.01,203.03,4334900,1.84267673,,,,,,,
SBERP,D,20180105,0,204.02,205.88,203.03,203.5,4082400,1.846942395,,,,,,,
SBERP,D,20180109,0,203.91,205.93,200.37,201.3,3860100,1.826975451,,,,,,,
SBERP,D,20180110,0,201.99,202.42,196.16,197.52,4842300,1.792668609,,,,,,,
SBERP,D,20180111,0,197.82,199.91,196,199.78,3314900,1.813180107,,,,,,,
SBERP,D,20180112,0,199.77,200.9,198.21,199.49,2496000,1.8105481,,,,,,,
SBERP,D,20180115,0,200,203.44,200,201.9,3256400,1.832420981,,,,,,,
SBERP,D,20180116,0,203.34,203.82,199.16,200.82,2275500,1.822619026,,,,,,,
SBERP,D,20180117,0,199.5,201.8,198.1,201.34,1424300,1.827338486,,,,,,,
SBERP,D,20180118,0,201.34,205,201.34,204.63,3563600,1.857198144,,,,,,,
SBERP,D,20180119,0,204.5,205.02,201.49,203.97,2454900,1.851208061,,,,,,,
SBERP,D,20180122,0,203.96,204.5,201.58,202.5,1493800,1.837866511,,,,,,,
SBERP,D,20180123,0,203.72,204.98,202.01,202.71,1877900,1.839772447,,,,,,,
SBERP,D,20180124,0,202.71,205.32,202.1,204.2,2590900,1.853295514,,,,,,,
SBERP,D,20180125,0,205.48,210.5,205,209,5623600,1.896859757,,,,,,,
SBERP,D,20180126,0,208.4,211.65,207.86,208,3741900,1.887783873,,,,,,,
SBERP,D,20180129,0,208.87,210.68,208.26,209.9,1790700,1.905028053,,,,,,,
SBERP,D,20180130,0,208.99,215.3,208.24,213.35,4094700,1.936339853,,,,,,,
SBERP,D,20180131,0,213.4,218.5,212.12,217.49,5236700,1.973914013,,,,,,,
SBERP,D,20180201,0,218.49,221.86,213.05,213.77,7707600,1.940151724,,,,,,,
SBERP,D,20180202,0,214.38,216.89,208.63,208.8,4126600,1.895044581,,,,,,,
SBERP,D,20180205,0,207.36,210.71,205.86,209.75,2905300,1.90366667,,,,,,,
SBERP,D,20180206,0,205.01,213.32,202.5,210.6,5079700,1.911381172,,,,,,,
SBERP,D,20180207,0,212.23,214.5,208.8,210.22,3683000,1.907932336,,,,,,,
SBERP,D,20180208,0,208.8,210.95,206.4,206.6,2517900,1.875077636,,,,,,,
SBERP,D,20180209,0,203.5,205.2,198.85,203.18,6398300,1.844038112,,,,,,,
SBERP,D,20180212,0,204.06,208.18,204.05,207.69,3305800,1.884970349,,,,,,,
SBERP,D,20180213,0,208.5,210,206.77,209.5,2472000,1.901397699,,,,,,,
SBERP,D,20180214,0,210.3,212.55,208.17,211.64,3522900,1.920820091,,,,,,,
SBERP,D,20180215,0,215.28,216,213.2,214.6,3734900,1.947684708,,,,,,,
SBERP,D,20180216,0,215.48,216.4,211.82,214.02,3678300,1.942420695,,,,,,,
SBERP,D,20180219,0,214.51,216,210.39,211.04,2442000,1.915374561,,,,,,,
SBERP,D,20180220,0,211.14,216,208.46,215.9,5318600,1.959483357,,,,,,,
SBERP,D,20180221,0,215,224.3,214.77,224,6307500,2.032998017,,,,,,,
SBERP,D,20180222,0,224.02,228.6,221.22,228.5,7265200,2.073839496,,,,,,,
SBERP,D,20180226,0,229.03,235,228.65,232.03,4061700,2.105877366,,,,,,,
SBERP,D,20180227,0,232.8,233.5,229,231.18,2721900,2.098162865,,,,,,,
SBERP,D,20180228,0,229.8,230.05,223.63,227,3673400,2.06022567,,,,,,,
SBERP,D,20180301,0,224.22,228.8,224.22,226.15,3897800,2.052511168,,,,,,,
SBERP,D,20180302,0,225,226.09,221.5,224.5,2049700,2.03753596,,,,,,,
SBERP,D,20180305,0,225.2,230.3,225,229.29,2428000,2.081009444,,,,,,,
SBERP,D,20180306,0,231,231.7,224.5,224.75,3136200,2.039804931,,,,,,,
SBERP,D,20180307,0,223.5,225.52,221,224.67,2177700,2.03907886,,,,,,,
SBERP,D,20180309,0,224.16,225.88,222.36,225.3,1854800,2.044796667,,,,,,,
SBERP,D,20180312,0,226.38,231.41,225,226.64,1903000,2.056958351,,,,,,,
SBERP,D,20180313,0,226.64,228.75,225.3,225.5,2267700,2.046611844,,,,,,,
SBERP,D,20180314,0,225.45,225.45,216,216.99,3209200,1.969376071,,,,,,,
SBERP,D,20180315,0,217.2,219.88,210.5,210.5,5956600,1.910473583,,,,,,,
SBERP,D,20180316,0,211.1,213.23,205,211.52,8358700,1.919730985,,,,,,,
SBERP,D,20180319,0,212,214.57,209.01,209.19,3744800,1.898584175,,,,,,,
SBERP,D,20180320,0,209.7,210.21,205.19,206.3,6347600,1.872354871,,,,,,,
SBERP,D,20180321,0,207.52,222.38,207,222,12354800,2.014846249,,,,,,,
SBERP,D,20180322,0,222.22,225.39,217.95,219.47,9409200,1.991884263,,,,,,,
SBERP,D,20180323,0,217.5,221.51,215.36,220.5,6779900,2.001232423,,,,,,,
SBERP,D,20180326,0,219.99,222.89,214.33,215.46,6240000,1.955489968,,,,,,,
SBERP,D,20180327,0,217.9,219.54,213.63,217.2,6125400,1.971282006,,,,,,,
SBERP,D,20180328,0,217,217.1,212.2,213,4703000,1.933163293,,,,,,,
SBERP,D,20180329,0,213.69,218,213.31,213.61,3254700,1.938699583,,,,,,,
SBERP,D,20180330,0,214.84,215.49,213.83,214.14,700900,1.943509801,,,,,,,
SBERP,D,20180402,0,214.74,218.2,212.55,212.59,2507100,1.929442181,,,,,,,
SBERP,D,20180403,0,212.2,212.89,207.76,212.12,3517600,1.925176515,,,,,,,
SBERP,D,20180404,0,212.78,214.89,210.14,213.85,4186400,1.940877795,,,,,,,
SBERP,D,20180405,0,215.09,220.33,213.85,220.3,6099400,1.999417247,,,,,,,
SBERP,D,20180406,0,219.42,221.5,215.78,217,5418300,1.969466829,,,,,,,
SBERP,D,20180409,0,216.15,217.93,176,187.83,23057000,1.704723293,,,,,,,
SBERP,D,20180410,0,190,193.82,172.59,188.17,30182100,1.707809094,,,,,,,
SBERP,D,20180411,0,186.15,192.49,178.77,181.7,18984200,1.649088124,,,,,,,
SBERP,D,20180412,0,184.74,190.65,182.61,185.99,13872600,1.688023666,,,,,,,
SBERP,D,20180413,0,186.74,188.7,178.22,180.67,9010200,1.639739963,,,,,,,
SBERP,D,20180416,0,174.42,182.5,168.43,172.59,20374600,1.566406821,,,,,,,
SBERP,D,20180417,0,180.7,182.68,177.6,181.79,17092800,1.649904954,,,,,,,
SBERP,D,20180418,0,182.41,192.7,176,190.5,22761000,1.728955903,,,,,,,
SBERP,D,20180419,0,192.69,196.03,188.29,189.69,14129100,1.721604437,,,,,,,
SBERP,D,20180420,0,190.18,191.45,187.28,190,5796300,1.724417961,,,,,,,
SBERP,D,20180423,0,190.6,196.84,188.79,196.7,10674100,1.785226384,,,,,,,
SBERP,D,20180424,0,198.73,201.52,195.89,197.51,10402100,1.79257785,,,,,,,
SBERP,D,20180425,0,195.31,197.63,192.32,194.19,5666700,1.762445915,,,,,,,
SBERP,D,20180426,0,195.61,196.89,191.11,193.91,5421800,1.759904668,,,,,,,
SBERP,D,20180427,0,194.8,196.5,191.72,194.91,6029100,1.768980552,,,,,,,
SBERP,D,20180428,0,195.36,195.49,193.54,195.06,723500,1.770341934,,,,,,,
SBERP,D,20180430,0,195,197.15,192.6,196.22,1969700,1.78086996,,,,,,,
SBERP,D,20180502,0,195.25,199.21,193.64,196.1,3335600,1.779780854,,,,,,,
SBERP,D,20180503,0,196.27,200.43,195.9,196.24,6329600,1.781051477,,,,,,,
SBERP,D,20180504,0,197.05,198,194.73,195.7,3780100,1.7761505,,,,,,,
SBERP,D,20180507,0,197,198.3,195.51,196.71,4099800,1.785317143,,,,,,,
SBERP,D,20180508,0,194.88,195.5,193,193.25,4479400,1.753914584,,,,,,,
SBERP,D,20180510,0,195.5,198.94,195.05,198.94,6329400,1.805556364,,,,,,,
SBERP,D,20180511,0,199.23,203.32,198.11,202.1,6480000,1.834236158,,,,,,,
SBERP,D,20180514,0,202.98,203.65,200.43,203,3022900,1.842404453,,,,,,,
SBERP,D,20180515,0,203.35,203.35,197.74,199.4,4354800,1.809731271,,,,,,,
SBERP,D,20180516,0,199.28,201.5,196.42,201,5790300,1.824252685,,,,,,,
SBERP,D,20180517,0,200.82,201.14,197.5,197.62,3413300,1.793576197,,,,,,,
SBERP,D,20180518,0,197.11,197.93,194.91,195.49,4176300,1.774244564,,,,,,,
SBERP,D,20180521,0,196.39,198.72,195.84,198.68,2870200,1.803196634,,,,,,,
SBERP,D,20180522,0,199.24,199.9,196.23,198.27,2167700,1.799475522,,,,,,,
SBERP,D,20180523,0,197.01,197.02,194.39,195.29,2979000,1.772429388,,,,,,,
SBERP,D,20180524,0,196.45,197.87,195.37,196.7,3874700,1.785226384,,,,,,,
SBERP,D,20180525,0,196.87,197.95,195.43,196.03,4032100,1.779145542,,,,,,,
SBERP,D,20180528,0,196.07,197.74,195.91,197,2012600,1.787949149,,,,,,,
SBERP,D,20180529,0,197,197.9,193.23,193.8,4825900,1.75890632,,,,,,,
SBERP,D,20180530,0,194.16,196.48,193.46,195.5,4025100,1.774335323,,,,,,,
SBERP,D,20180531,0,195.61,196.91,194.85,196,4376500,1.778873265,,,,,,,
SBERP,D,20180601,0,195.4,196.85,194.94,196.02,3050100,1.779054783,,,,,,,
SBERP,D,20180604,0,196.46,198.48,194.89,195.39,8052100,1.773336976,,,,,,,
SBERP,D,20180605,0,195.3,196.09,191.08,191.3,5361700,1.73621661,,,,,,,
SBERP,D,20180606,0,192.01,193.88,191.3,193.1,3054800,1.752553202,,,,,,,
SBERP,D,20180607,0,194.2,194.82,192.5,192.5,2813200,1.747107671,,,,,,,
SBERP,D,20180608,0,192.5,193.27,188.85,189.32,6359500,1.71824636,,,,,,,
SBERP,D,20180609,0,190.49,190.86,188.57,189.2,1855100,1.717157254,,,,,,,
SBERP,D,20180611,0,189.73,190.48,186.34,188,4189600,1.706266193,,,,,,,
SBERP,D,20180613,0,188.2,191.8,187.31,190.14,3964900,1.725688585,,,,,,,
SBERP,D,20180614,0,190.22,191.91,189.07,189.26,3282400,1.717701807,,,,,,,
SBERP,D,20180615,0,189.48,190.43,185.45,187.45,7695900,1.701274457,,,,,,,
SBERP,D,20180618,0,186.45,187.87,182.7,185,7750600,1.679038541,,,,,,,
SBERP,D,20180619,0,183,183.9,181.05,183.5,7832400,1.665424715,,,,,,,
SBERP,D,20180620,0,184.83,188.68,184.51,188.44,5612100,1.710259582,,,,,,,
SBERP,D,20180621,0,188.58,189.81,186.35,186.43,8522700,1.692017055,,,,,,,
SBERP,D,20180622,0,187.48,191.5,187.02,191.5,9887900,1.738031787,,,,,,,
SBERP,D,20180625,0,180.75,182.5,179.2,179.9,7669600,1.632751533,,,,,,,
SBERP,D,20180626,0,180.22,181.46,177.5,178.27,3381100,1.617957842,,,,,,,
SBERP,D,20180627,0,178.6,183.83,177,183.66,7883100,1.666876857,,,,,,,
SBERP,D,20180628,0,182.8,184.5,181.78,182.91,4777200,1.660069944,,,,,,,
SBERP,D,20180629,0,184.15,187.28,184.15,186.5,7640500,1.692652367,,,,,,,
SBERP,D,20180702,0,186.3,188.27,184.43,185.75,7394100,1.685845454,,,,,,,
SBERP,D,20180703,0,186.06,187.33,183.26,183.5,4228900,1.665424715,,,,,,,
SBERP,D,20180704,0,184.2,185.03,183.11,183.43,2074200,1.664789403,,,,,,,
SBERP,D,20180705,0,183.99,187.45,183.02,186.5,4945300,1.692652367,,,,,,,
SBERP,D,20180706,0,187,188.54,185.66,188,5158700,1.706266193,,,,,,,
SBERP,D,20180709,0,189,192.97,188.91,192.21,5147100,1.744475665,,,,,,,
SBERP,D,20180710,0,193.01,195.8,191.33,195.05,7076700,1.770251176,,,,,,,
SBERP,D,20180711,0,193.15,193.87,191.5,191.5,7064700,1.738031787,,,,,,,
SBERP,D,20180712,0,191.56,193.1,189.05,192.61,5470900,1.748106019,,,,,,,
SBERP,D,20180713,0,193.3,194.15,191.76,192.46,3436000,1.746744636,,,,,,,
SBERP,D,20180716,0,192.52,193.99,190.26,191.06,3531100,1.734038398,,,,,,,
SBERP,D,20180717,0,190.5,190.79,186.05,186.95,4632000,1.696736515,,,,,,,
SBERP,D,20180718,0,187.05,187.7,183.12,184.5,3912200,1.674500599,,,,,,,
SBERP,D,20180719,0,184.33,184.54,177.24,177.25,8976300,1.60870044,,,,,,,
SBERP,D,20180720,0,177.52,181.57,172.12,174.1,11866100,1.580111406,,,,,,,
SBERP,D,20180723,0,175,180.55,175,179.45,4553700,1.628667385,,,,,,,
SBERP,D,20180724,0,179.56,184,179.56,184,4026400,1.669962657,,,,,,,
SBERP,D,20180725,0,180.65,183.45,178.3,182.13,3963500,1.652990754,,,,,,,
SBERP,D,20180726,0,183.67,184.45,179.47,179.47,2838600,1.628848903,,,,,,,
SBERP,D,20180727,0,180,181.85,177.7,179.85,2931500,1.632297739,,,,,,,
SBERP,D,20180730,0,179.28,182.45,178.36,180.5,2368200,1.638197063,,,,,,,
SBERP,D,20180731,0,181.02,182.94,180,182.42,1890500,1.65562276,,,,,,,
SBERP,D,20180801,0,182.31,182.91,180.36,180.36,1309800,1.636926439,,,,,,,
SBERP,D,20180802,0,179.64,181.62,176.73,177.48,2875000,1.610787894,,,,,,,
SBERP,D,20180803,0,177.15,178.27,173.83,175,6602300,1.588279701,,,,,,,
SBERP,D,20180806,0,175.8,178.38,174,177.78,2747500,1.613510659,,,,,,,
SBERP,D,20180807,0,178.22,180.17,176.12,176.65,2960900,1.60325491,,,,,,,
SBERP,D,20180808,0,176.2,177,168.8,169.74,10093500,1.540540551,,,,,,,
SBERP,D,20180809,0,167.96,170,160.6,170,17975000,1.542900281,,,,,,,
SBERP,D,20180810,0,168.41,170.35,161,162.86,9850200,1.478098469,,,,,,,
SBERP,D,20180813,0,159.6,166.12,158.08,162.34,12872400,1.47337901,,,,,,,
SBERP,D,20180814,0,164.1,165.87,162.12,163.42,6267400,1.483180964,,,,,,,
SBERP,D,20180815,0,164.1,164.91,161.2,161.4,4143100,1.464847679,,,,,,,
SBERP,D,20180816,0,162.31,164.85,161.81,164.3,3438300,1.491167742,,,,,,,
SBERP,D,20180817,0,164.01,164.48,161.66,162.25,3244100,1.47256218,,,,,,,
SBERP,D,20180820,0,163.54,165.55,162.81,164.92,5113700,1.49679479,,,,,,,
SBERP,D,20180821,0,165.1,165.83,163.02,164.81,2301900,1.495796443,,,,,,,
SBERP,D,20180822,0,165.04,166.41,162.12,162.12,4548700,1.471382315,,,,,,,
SBERP,D,20180823,0,162.12,162.87,156.07,156.66,10673300,1.421827988,,,,,,,
SBERP,D,20180824,0,156.1,158.21,151.05,157.85,11400500,1.43262829,,,,,,,
SBERP,D,20180827,0,157.91,161.5,157.37,161.35,5229100,1.464393884,,,,,,,
SBERP,D,20180828,0,161.31,161.97,159.32,160.61,4607600,1.45767773,,,,,,,
SBERP,D,20180829,0,161.16,161.52,159.65,160.53,4032100,1.45695166,,,,,,,
SBERP,D,20180830,0,161.99,162.19,156.26,156.96,4254100,1.424550754,,,,,,,
SBERP,D,20180831,0,156,159.7,154.81,159.49,4533300,1.44751274,,,,,,,
SBERP,D,20180903,0,158.66,159.6,157.54,158.53,3137600,1.438799892,,,,,,,
SBERP,D,20180904,0,158.58,159.42,156.18,156.59,3057300,1.421192677,,,,,,,
SBERP,D,20180905,0,156.26,157.17,154.49,155.23,6842700,1.408849474,,,,,,,
SBERP,D,20180906,0,155.02,155.37,151.73,152.2,6496500,1.381349546,,,,,,,
SBERP,D,20180907,0,152.08,153.18,150.64,151.77,5130000,1.377446916,,,,,,,
SBERP,D,20180910,0,151.73,152.09,145.1,148.36,13840300,1.346498151,,,,,,,
SBERP,D,20180911,0,148.29,149.48,143.65,144.97,10504100,1.315730904,,,,,,,
SBERP,D,20180912,0,145.7,149.78,145.14,148.34,13114800,1.346316634,,,,,,,
SBERP,D,20180913,0,148.5,161.62,148.5,155.05,17123200,1.407215815,,,,,,,
SBERP,D,20180914,0,155.8,159.5,154.7,159.5,9003500,1.447603499,,,,,,,
SBERP,D,20180917,0,160.16,162.75,158.25,159.12,6026700,1.444154663,,,,,,,
SBERP,D,20180918,0,159.24,164,158.8,163.9,5806500,1.487537389,,,,,,,
SBERP,D,20180919,0,164.46,166.17,163.65,165.41,6261400,1.501241974,,,,,,,
SBERP,D,20180920,0,165.58,168.8,164.79,165.7,10396600,1.50387398,,,,,,,
SBERP,D,20180921,0,165.7,167,163.82,165.5,5895100,1.502058803,,,,,,,
SBERP,D,20180924,0,167,170,167,169.85,6631800,1.541538899,,,,,,,
SBERP,D,20180925,0,170.04,171.13,166.6,166.7,7435900,1.512949864,,,,,,,
SBERP,D,20180926,0,166.72,168.1,165.35,167.26,6175300,1.518032359,,,,,,,
SBERP,D,20180927,0,167.18,171.78,166.6,171.2,8840100,1.553791342,,,,,,,
SBERP,D,20180928,0,171.8,173.3,169.19,171.05,6611600,1.552429959,,,,,,,
SBERP,D,20181001,0,172.4,172.49,170.1,170.9,4276400,1.551068577,,,,,,,
SBERP,D,20181002,0,171.6,172.1,167.6,167.85,4753400,1.523387131,,,,,,,
SBERP,D,20181003,0,168.21,170.37,166,166.8,4599900,1.513857452,,,,,,,
SBERP,D,20181004,0,166.99,166.99,160.85,161.33,5045600,1.464212367,,,,,,,
SBERP,D,20181005,0,160.8,163.48,158.79,162.5,8031700,1.474831151,,,,,,,
SBERP,D,20181008,0,162.18,166.65,158.85,165.5,5325900,1.502058803,,,,,,,
SBERP,D,20181009,0,166.65,168.74,163.9,166.51,6473400,1.511225446,,,,,,,
SBERP,D,20181010,0,167,169,164.01,164.43,3256900,1.492347607,,,,,,,
SBERP,D,20181011,0,160,163.44,159.12,162.1,7459500,1.471200797,,,,,,,
SBERP,D,20181012,0,163.98,166.75,163.71,166.75,4822800,1.513403658,,,,,,,
SBERP,D,20181015,0,166.75,167.35,164.14,165.42,2962300,1.501332732,,,,,,,
SBERP,D,20181016,0,165.5,168.69,163.53,168.69,3414300,1.531010873,,,,,,,
SBERP,D,20181017,0,169.5,170.25,165.68,165.91,5152000,1.505779916,,,,,,,
SBERP,D,20181018,0,165.6,166.82,163.16,163.35,2217100,1.482545652,,,,,,,
SBERP,D,20181019,0,164,164.21,159.88,159.99,5439600,1.452050682,,,,,,,
SBERP,D,20181022,0,160.63,162.56,156.53,156.6,6331500,1.421283435,,,,,,,
SBERP,D,20181023,0,155.77,159.69,154.14,158.69,5665700,1.440252033,,,,,,,
SBERP,D,20181024,0,159.31,163.49,157.22,163.19,7188600,1.481093511,,,,,,,
SBERP,D,20181025,0,160,163.04,158.7,160.8,3383200,1.459402148,,,,,,,
SBERP,D,20181026,0,160.49,160.49,155,156.24,5529200,1.418016117,,,,,,,
SBERP,D,20181029,0,156.4,161.32,155.03,161.3,4247100,1.46394009,,,,,,,
SBERP,D,20181030,0,160.5,162.9,158.94,161.2,4518300,1.463032502,,,,,,,
SBERP,D,20181031,0,162.6,163.69,161.23,163.3,5178400,1.482091858,,,,,,,
SBERP,D,20181101,0,163.59,165,161.35,163.23,5415800,1.481456546,,,,,,,
SBERP,D,20181102,0,163.96,166.3,163.47,165.67,4772710,1.503601703,,,,,,,
SBERP,D,20181106,0,167,169.5,166.44,169.49,4368270,1.53827158,,,,,,,
SBERP,D,20181107,0,169.77,173.8,167.26,173.8,7469830,1.57738864,,,,,,,
SBERP,D,20181108,0,173.99,176.16,171.28,173.3,8432500,1.572850698,,,,,,,
SBERP,D,20181109,0,171.5,172.43,167.74,169.88,7429350,1.541811175,,,,,,,
SBERP,D,20181112,0,170.9,175.89,170.88,171.11,6397280,1.552974512,,,,,,,
SBERP,D,20181113,0,170.98,174.25,169.26,171.5,4907330,1.556514107,,,,,,,
SBERP,D,20181114,0,170.27,173.88,168.61,173.63,4979860,1.57584574,,,,,,,
SBERP,D,20181115,0,174.53,175.62,172.91,173.49,4157260,1.574575116,,,,,,,
SBERP,D,20181116,0,174.38,175.85,172,173.4,3767270,1.573758287,,,,,,,
SBERP,D,20181119,0,173.4,174.36,170.88,171.9,3042320,1.560144461,,,,,,,
SBERP,D,20181120,0,171.24,172.08,166.37,169,4801420,1.533824397,,,,,,,
SBERP,D,20181121,0,168.56,172,168.48,172,3111870,1.561052049,,,,,,,
SBERP,D,20181122,0,172.3,173.48,169.98,172.9,2713990,1.569220345,,,,,,,
SBERP,D,20181123,0,172.49,172.49,168.8,171.3,3694580,1.55469893,,,,,,,
SBERP,D,20181126,0,171,171,163.73,166.5,8795230,1.511134687,,,,,,,
SBERP,D,20181127,0,166.53,168.56,166.01,167.29,4114550,1.518304635,,,,,,,
SBERP,D,20181128,0,168,168.94,166.55,167.4,2561700,1.519302983,,,,,,,
SBERP,D,20181129,0,168.63,171.55,167.72,171.5,5213780,1.556514107,,,,,,,
SBERP,D,20181130,0,170.1,170.1,167.3,169,2911260,1.533824397,,,,,,,
SBERP,D,20181203,0,171.58,174.79,171.53,173.5,6282770,1.574665875,,,,,,,
SBERP,D,20181204,0,173.03,173.89,171.38,172.54,2842520,1.565953027,,,,,,,
SBERP,D,20181205,0,170.62,171.49,169.71,170.1,2952190,1.54380787,,,,,,,
SBERP,D,20181206,0,169.39,169.5,166.7,167.8,4594720,1.522933336,,,,,,,
SBERP,D,20181207,0,168.58,171.35,168.1,171.1,3319460,1.552883754,,,,,,,
SBERP,D,20181210,0,169.35,169.94,167.51,169,2773610,1.533824397,,,,,,,
SBERP,D,20181211,0,169.8,170.1,167.54,169.5,4428130,1.538362339,,,,,,,
SBERP,D,20181212,0,170.1,170.1,167.55,168.4,2128710,1.528378867,,,,,,,
SBERP,D,20181213,0,167.55,168.45,166.44,166.92,3389140,1.514946558,,,,,,,
SBERP,D,20181214,0,167,167.02,163.56,164.99,6722320,1.497430102,,,,,,,
SBERP,D,20181217,0,164.56,166.12,162.31,163.48,3834350,1.483725517,,,,,,,
SBERP,D,20181218,0,162.09,164.75,161.55,164.75,5317000,1.49525189,,,,,,,
SBERP,D,20181219,0,163.41,166.01,163.4,165.47,5262310,1.501786527,,,,,,,
SBERP,D,20181220,0,164.47,168.12,164,166.85,4541600,1.514311247,,,,,,,
SBERP,D,20181221,0,166.3,167.77,164.49,164.98,2783930,1.497339343,,,,,,,
SBERP,D,20181224,0,164.55,165.26,163.11,164.49,2641950,1.49289216,,,,,,,
SBERP,D,20181225,0,162.9,163.06,160,163,2792490,1.479369093,,,,,,,
SBERP,D,20181226,0,163.26,164.57,162.85,163.65,1972510,1.485268418,,,,,,,
SBERP,D,20181227,0,165.97,166.88,164,164,2613470,1.488444977,,,,,,,
SBERP,D,20181228,0,165.25,166.6,164.74,165.07,1424800,1.498156173,,,,,,,
SBERP,D,20181229,0,166.27,166.49,165.08,166.18,696250,1.508230404,,,,,,,
