<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,D,20180105,000000,238.8500000,239.9500000,236.7000000,238.6000000,31546930
SBER,D,20180109,000000,239.0400000,243.7600000,239.0100000,240.4000000,53158280
SBER,D,20180110,000000,240.4100000,241.2500000,237.0600000,237.7600000,39353510
SBER,D,20180111,000000,237.7600000,240.8800000,235.2100000,239.0000000,43062100
SBER,D,20180112,000000,239.0000000,239.0000000,236.0500000,237.7500000,30886330
SBER,D,20180115,000000,239.0300000,240.9700000,238.0000000,238.8500000,25651360
SBER,D,20180116,000000,239.0000000,240.0000000,236.0100000,239.6400000,25463890
SBER,D,20180117,000000,238.6200000,239.8200000,236.5300000,239.8200000,30496560
SBER,D,20180118,000000,240.5000000,246.6900000,240.0000000,245.5000000,64062190
SBER,D,20180119,000000,245.1600000,245.9800000,240.6800000,242.4500000,38974940
SBER,D,20180122,000000,242.9700000,244.8900000,241.4100000,243.9900000,25074510
SBER,D,20180123,000000,244.7800000,246.2500000,241.6700000,244.4000000,43952320
SBER,D,20180124,000000,244.2000000,247.5300000,242.3200000,247.5300000,31125880
SBER,D,20180125,000000,247.9000000,251.6500000,247.5800000,250.6400000,54982290
SBER,D,20180126,000000,249.6000000,251.2300000,245.9300000,247.0000000,35182810
SBER,D,20180129,000000,247.5000000,250.7900000,246.0000000,250.4800000,49177160
SBER,D,20180130,000000,248.5300000,258.9600000,247.9100000,257.8000000,65465450
SBER,D,20180131,000000,257.5000000,264.7900000,255.7000000,264.5000000,63661880
SBER,D,20180201,000000,265.0000000,270.3000000,260.6000000,263.2000000,73011770
SBER,D,20180202,000000,263.6300000,264.8300000,256.2000000,257.3200000,64628360
SBER,D,20180205,000000,254.9300000,258.2900000,252.6000000,255.6400000,45881050
SBER,D,20180206,000000,249.9800000,262.5500000,248.1000000,258.9400000,85504830
SBER,D,20180207,000000,263.0000000,264.3700000,256.2600000,257.5800000,53360650
SBER,D,20180208,000000,256.4000000,259.7600000,253.1900000,253.1900000,37153970
SBER,D,20180209,000000,249.4800000,252.8900000,244.1300000,250.1100000,81609160
SBER,D,20180212,000000,253.0000000,256.3600000,251.6700000,255.0500000,41723850
